id,poj_input,poj_unicode,tailo_input,tailo_unicode,taigi_hanji,page_number
744,Ah-kian7-tin5,Ah-kiān-tîn,Ah-kian7-tin5,Ah-kiān-tîn,鴨腱藤,232
745,Chhi3-tong5,Chhì-tông,Tshi3-tong5,Tshì-tông,刺桐,232
746,Chhau3-khang-a2,Chhàu-khang-á,Tshau3-khang-a2,Tshàu-khang-á,臭空仔,232
747,It-tiau5-kun,It-tiâu-kun,It-tiau5-kun,It-tiâu-kun,乙條根、一條根,232
748,Chhian-kun-puih,Chhian-kun-puih,Tshian-kun-puih,Tshian-kun-puih,千斤拔,232
749,Koe-kak-kong,Koe-kak-kong,Kue-kak-kong,Kue-kak-kong,鷄鵤公,233
750,Chhinn-phe5-tau7,Chhiⁿ-phê-tāu,Tshinn-phe5-tau7,Tshinn-phê-tāu,青皮豆,233
751,Peh8-tau7,Pe̍h-tāu,Peh8-tau7,Pe̍h-tāu,白豆,233
752,Oo-tau7,O͘-tāu,Oo-tau7,Oo-tāu,烏豆,233
753,Hoan-chhinn,Hoan-chhiⁿ,Huan-tshinn,Huan-tshinn,蕃菁,234
754,Toa7-chhinn,Tōa-chhiⁿ,Tua7-tshinn,Tuā-tshinn,大菁,234
755,Pun2-chhinn,Pún-chhiⁿ,Pun2-tshinn,Pún-tshinn,本菁,234
756,Chhinn-a2,Chhiⁿ-á,Tshinn-a2,Tshinn-á,菁仔,234
757,Sio2-chhinn,Sió-chhiⁿ,Sio2-tshinn,Sió-tshinn,小菁,234
758,Chhian-li2-kong,Chhian-lí-kong,Tshian-li2-kong,Tshian-lí-kong,千里光,235
759,Hoo5-sin5-sit8,Hô͘-sîn-si̍t,Hoo5-sin5-sit8,Hôo-sîn-si̍t,蝴蠅翼,235
760,Soann-thoo5-tau7,Soaⁿ-thô͘-tāu,Suann-thoo5-tau7,Suann-thôo-tāu,山土豆,236
761,Hoo5-sin5-sit8,Hô͘-sîn-si̍t,Hoo5-sin5-sit8,Hôo-sîn-si̍t,蝴蠅翼,236
762,Koah-tin5,Koah-tîn,Kuah-tin5,Kuah-tîn,葛藤,236
763,Koe3-soann-leng5,Kòe-soaⁿ-lêng,Kue3-suann-ling5,Kuè-suann-lîng,過山龍,236
764,Loo7-tin5,Lō͘-tîn,Loo7-tin5,Lōo-tîn,蕗藤,237
765,Hi5-tin5,Hî-tîn,Hi5-tin5,Hî-tîn,魚藤,237
766,Hoo2-jiau2-tau7,Hó͘-jiáu-tāu,Hoo2-jiau2-tau7,Hóo-jiáu-tāu,虎爪豆,237
767,Hu-kui3-tau7,Hu-kùi-tāu,Hu-kui3-tau7,Hu-kuì-tāu,富貴豆,237
768,Huih-tin5,Huih-tîn,Huih-tin5,Huih-tîn,血藤,237
769,Huih-tin5,Huih-tîn,Huih-tin5,Huih-tîn,血藤,237
770,Chhinn-kau5-kong-chhiu7,Chhiⁿ-kâu-kong-chhiū,Tshinn-kau5-kong-tshiu7,Tshinn-kâu-kong-tshiū,青猴公樹,238
771,Tau7-chu5,Tāu-chû,Tau7-tsu5,Tāu-tsû,豆薯、荳薯,238
772,Koah-chu5,Koah-chû,Kuah-tsu5,Kuah-tsû,葛薯,238
773,Han-chu5,Han-chû,Han-tsu5,Han-tsû,蕃薯,238
774,Hong5-te3-tau7,Hông-tè-tāu,Hong5-te3-tau7,Hông-tè-tāu,皇帝豆,238
775,Bi2-tau7,Bí-tāu,Bi2-tau7,Bí-tāu,米豆,238
776,Lek8-tau7,Le̍k-tāu,Lik8-tau7,Li̍k-tāu,綠豆,239
777,Chhai3-tau7,Chhài-tāu,Tshai3-tau7,Tshài-tāu,菜豆,239
778,Hoan-a2-tau7,Hoan-á-tāu,Huan-a2-tau7,Huan-á-tāu,蕃仔豆,239
779,Ho-lin-tau7,Ho-lin-tāu,Ho-lin-tau7,Ho-lin-tāu,荷蘭豆,239
780,Kim-ku-chhiu7,Kim-ku-chhiū,Kim-ku-tshiu7,Kim-ku-tshiū,金龜樹,239
781,Oo-koe-kut,O͘-koe-kut,Oo-kue-kut,Oo-kue-kut,烏鷄骨,239
782,Am7-se5-tau7,Ām-sê-tāu,Am7-se5-tau7,Ām-sê-tāu,頷垂豆,239
783,Koe-bai5,Koe-bâi,Kue-bai5,Kue-bâi,雞眉,239
784,Hoan-a2-oan,Hoan-á-oan,Huan-a2-uan,Huan-á-uan,蕃仔灣,239
785,Kau2-teng5-chhe,Káu-têng-chhe,Kau2-ting5-tshe,Káu-tîng-tshe,九重吹,240
786,Tau7-chhai3,Tāu-chhài,Tau7-tshai3,Tāu-tshài,豆菜,240
787,Chu2-toann5,Chú-tôaⁿ,Tsu2-tuann5,Tsú-tuânn,紫檀,240
788,Koah-tin5-chhau2,Koah-tîn-chháu,Kuah-tin5-tshau2,Kuah-tîn-tsháu,葛藤草,240
789,Kan-koah,Kan-koah,Kan-kuah,Kan-kuah,乾葛,240
790,Soann-bah-tau7,Soaⁿ-bah-tāu,Suann-bah-tau7,Suann-bah-tāu,山肉豆,240
791,Chhan5-chhinn,Chhân-chhiⁿ,Tshan5-tshinn,Tshân-tshinn,田菁,241
792,Soann-chhinn,Soaⁿ-chhiⁿ,Suann-tshinn,Suann-tshinn,山菁,241
793,Be2-khi2-tau7,Bé-khí-tāu,Be2-khi2-tau7,Bé-khí-tāu,馬齒豆,242
794,Chham5-tau7,Chhâm-tāu,Tsham5-tau7,Tshâm-tāu,蠶豆,242
795,Bi2-tau7,Bí-tāu,Bi2-tau7,Bí-tāu,米豆,243
796,Chhai3-tau7,Chhài-tāu,Tshai3-tau7,Tshài-tāu,菜豆,243
797,Iunn5-tho5,Iûⁿ-thô,Iunn5-tho5,Iûnn-thô,楊桃、羊桃,244
798,Iunn5-mui5-tho5,Iûⁿ-mûi-thô,Iunn5-mui5-tho5,Iûnn-muî-thô,楊梅桃,244
799,Lak8-tak8,La̍k-ta̍k,Lak8-tak8,La̍k-ta̍k,磟碡、碌碡,244
800,Sio2-le2-hoe,Sió-lé-hoe,Sio2-le2-hue,Sió-lé-hue,小禮花,244
801,Iam5-sng-a2-chhau2,Iâm-sng-á-chháu,Iam5-sng-a2-tshau2,Iâm-sng-á-tsháu,鹽酸仔草,245
802,Iam5-sng-chhau2,Iâm-sng-chháu,Iam5-sng-tshau2,Iâm-sng-tsháu,鹽酸草,245
803,Soann-iam5-sng,Soaⁿ-iâm-sng,Suann-iam5-sng,Suann-iâm-sng,山鹽酸,245
804,Hoo5-sin5-sit8,Hô͘-sîn-si̍t,Hoo5-sin5-sit8,Hôo-sîn-si̍t,蝴蠅翼,245
805,Peh8-chit8-le5,Pe̍h-chi̍t-lê,Peh8-tsit8-le5,Pe̍h-tsi̍t-lê,白蒺藜,246
806,Chit8-le5,Chi̍t-lê,Tsit8-le5,Tsi̍t-lê,蒺藜,246
807,Sann-kha-hoo2,Saⁿ-kha-hó͘,Sann-kha-hoo2,Sann-kha-hóo,三脚虎,246
808,Sann-kha-be2-a2,Saⁿ-kha-bé-á,Sann-kha-be2-a2,Sann-kha-bé-á,三脚馬仔,246
809,Sann-kha-teng,Saⁿ-kha-teng,Sann-kha-ting,Sann-kha-ting,三脚丁,246
810,Oo-kam-a2,O͘-kam-á,Oo-kam-a2,Oo-kam-á,烏柑仔,246
811,Soann-kam-a2,Soaⁿ-kam-á,Suann-kam-a2,Suann-kam-á,山柑仔,246
812,Ng5-kun,N̂g-kun,Ng5-kun,N̂g-kun,黃根,246
813,Siong5-san,Siông-san,Siong5-san,Siông-san,常山,246
814,Toa7-the3-hong5,Tōa-thè-hông,Tua7-the3-hong5,Tuā-thè-hông,大退癀,246
815,Hiunn-kam,Hiuⁿ-kam,Hiunn-kam,Hiunn-kam,香柑,246
816,Goan5-siau-kam,Goân-siau-kam,Guan5-siau-kam,Guân-siau-kam,元宵柑,246
817,Lian5-siau-kam,Liân-siau-kam,Lian5-siau-kam,Liân-siau-kam,年宵柑,246
818,Hoo2-thau5-kam,Hó͘-thâu-kam,Hoo2-thau5-kam,Hóo-thâu-kam,虎頭柑,247
819,Tau2-iu7,Táu-iū,Tau2-iu7,Táu-iū,斗柚,247
820,Iu7-a2,Iū-á,Iu7-a2,Iū-á,柚仔,247
821,Toa7-tau2-iu7,Tōa-táu-iū,Tua7-tau2-iu7,Tuā-táu-iū,大斗柚,247
822,Ban7-iu7,Bān-iū,Ban7-iu7,Bān-iū,晚柚,247
823,Bun5-tan3,Bûn-tàn,Bun5-tan3,Bûn-tàn,文旦,247
824,Moa5-tau7-bun5-tan3,Môa-tāu-bûn-tàn,Mua5-tau7-bun5-tan3,Muâ-tāu-bûn-tàn,麻豆文旦,247
825,Peh8-bah-iu7,Pe̍h-bah-iū,Peh8-bah-iu7,Pe̍h-bah-iū,白肉柚,247
826,Moa5-tau7-peh8-iu7,Môa-tāu-pe̍h-iū,Mua5-tau7-peh8-iu7,Muâ-tāu-pe̍h-iū,麻豆白柚,247
827,Bit-iu7,Bit-iū,Bit-iu7,Bit-iū,蜜柚,247
828,Soann-tang-iu7,Soaⁿ-tang-iū,Suann-tang-iu7,Suann-tang-iū,山東柚,248
829,Chioh8-thau5-iu7,Chio̍h-thâu-iū,Tsioh8-thau5-iu7,Tsio̍h-thâu-iū,石頭柚,248
830,Cha2-iu7,Chá-iū,Tsa2-iu7,Tsá-iū,早柚,248
831,Peh8-hioh8-iu7,Pe̍h-hio̍h-iū,Peh8-hioh8-iu7,Pe̍h-hio̍h-iū,白葉柚,248
832,Oo-hioh8-iu7,O͘-hio̍h-iū,Oo-hioh8-iu7,Oo-hio̍h-iū,烏葉柚,248
833,Koainn5-chhiunn5-iu7,Koâiⁿ-chhiûⁿ-iū,Kuainn5-tshiunn5-iu7,Kuâinn-tshiûnn-iū,高墻柚,248
834,Tiong-iu7,Tiong-iū,Tiong-iu7,Tiong-iū,中柚,248
835,Hiong-ian5,Hiong-iân,Hiong-ian5,Hiong-iân,香櫞,248
836,Hiunn-inn5,Hiuⁿ-îⁿ,Hiunn-inn5,Hiunn-înn,香員、香圓,248
837,Hiunn-inn5,Hiuⁿ-îⁿ,Hiunn-inn5,Hiunn-înn,香圓,248
838,Hiunn-iu7,Hiuⁿ-iū,Hiunn-iu7,Hiunn-iū,香柚,248
839,Hut8-siu2,Hu̍t-siú,Hut8-siu2,Hu̍t-siú,佛手,248
840,Hut8-siu2-hiunn-kam,Hu̍t-siú-hiuⁿ-kam,Hut8-siu2-hiunn-kam,Hu̍t-siú-hiunn-kam,佛手香柑,248
841,Chai3-seng-kiat,Chài-seng-kiat,Tsai3-sing-kiat,Tsài-sing-kiat,再生橘,248
842,Su3-kui3-kiat,Sù-kùi-kiat,Su3-kui3-kiat,Sù-kuì-kiat,四季橘,248
843,Hoan-kam,Hoan-kam,Huan-kam,Huan-kam,蕃柑,248
844,Kong-sun-kiat,Kong-sun-kiat,Kong-sun-kiat,Kong-sun-kiat,公孫橘,248
845,Sng-kiat,Sng-kiat,Sng-kiat,Sng-kiat,酸橘,249
846,Phong3-kiat,Phòng-kiat,Phong3-kiat,Phòng-kiat,掽橘、凸橘,249
847,Tinn-kiat,Tiⁿ-kiat,Tinn-kiat,Tinn-kiat,甜橘,249
848,Phong3-kam,Phòng-kam,Phong3-kam,Phòng-kam,掽柑、凸柑,249
849,Seh-kam,Seh-kam,Seh-kam,Seh-kam,雪柑,249
850,Chui2-kam,Chúi-kam,Tsui2-kam,Tsuí-kam,水柑,249
851,Ang5-kam,Âng-kam,Ang5-kam,Âng-kam,紅柑,249
852,Thang2-kam,Tháng-kam,Thang2-kam,Tháng-kam,桶柑,249
853,Ni5-kam,Nî-kam,Ni5-kam,Nî-kam,年柑,249
854,Koainn5-chhiunn5-thang2-kam,Koâiⁿ-chhiûⁿ-tháng-kam,Kuainn5-tshiunn5-thang2-kam,Kuâinn-tshiûnn-tháng-kam,高墻桶柑,249
855,Hai2-lai5-kam,Hái-lâi-kam,Hai2-lai5-kam,Hái-lâi-kam,海梨柑,249
856,Ng5-phi5,N̂g-phî,Ng5-phi5,N̂g-phî,黃皮,250
857,Ng5-kam,N̂g-kam,Ng5-kam,N̂g-kam,黃柑,250
858,Ke3-soann-hiunn,Kè-soaⁿ-hiuⁿ,Ke3-suann-hiunn,Kè-suann-hiunn,過山香,250
859,Hoan-a2-phang-chhau2,Hoan-á-phang-chháu,Huan-a2-phang-tshau2,Huan-á-phang-tsháu,蕃仔香草,250
860,Chhat8-a2-chhiu7,Chha̍t-á-chhiū,Tshat8-a2-tshiu7,Tsha̍t-á-tshiū,賊仔樹,250
861,Soann-chhat,Soaⁿ-chhat,Suann-tshat,Suann-tshat,山漆,250
862,Soe3-hioh8-soann-koah-chhai3,Sòe-hio̍h-soaⁿ-koah-chhài,Sue3-hioh8-suann-kuah-tshai3,Suè-hio̍h-suann-kuah-tshài,細葉山葛菜,250
863,Soann-koah-chhai3,Soaⁿ-koah-chhài,Suann-kuah-tshai3,Suann-kuah-tshài,山葛菜,250
864,Peh8-be2-sai2,Pe̍h-bé-sái,Peh8-be2-sai2,Pe̍h-bé-sái,白馬屎,250
865,Sann-kha-pih,Saⁿ-kha-pih,Sann-kha-pih,Sann-kha-pih,三脚鼈,250
866,Sann-pih-pi2,Saⁿ-pih-pí,Sann-pih-pi2,Sann-pih-pí,三鼈比,250
867,Chhi3-chhang,Chhì-chhang,Tshi3-tshang,Tshì-tshang,刺葱,250
868,Toa7-hioh8-chhi3-chhang,Tōa-hio̍h-chhì-chhang,Tua7-hioh8-tshi3-tshang,Tuā-hio̍h-tshì-tshang,大葉刺葱,250
869,Ang5-chh3-chhang,Âng-chh-chhang,Ang5-tsh3-tshang,Âng-tsh-tshang,紅刺葱,250
870,Jin5-chhi3-chhang,Jîn-chhì-chhang,Jin5-tshi3-tshang,Jîn-tshì-tshang,仁刺葱,250
871,Chhi3-kang-boo2,Chhì-kang-bó͘,Tshi3-kang-boo2,Tshì-kang-bóo,刺江某、刺江栂,250
872,Chiau2-tah8-chhi3,Chiáu-ta̍h-chhì,Tsiau2-tah8-tshi3,Tsiáu-ta̍h-tshì,鳥踏刺,251
873,Peh8-be2-sai2,Pe̍h-bé-sái,Peh8-be2-sai2,Pe̍h-bé-sái,白馬屎,251
874,Koo2-goat8-kun,Kó͘-goa̍t-kun,Koo2-guat8-kun,Kóo-gua̍t-kun,古月根,251
875,Sang-bin7-chhi3,Sang-bīn-chhì,Sang-bin7-tshi3,Sang-bīn-tshì,雙面刺,251
876,Hau-khak-chhi3,Hau-khak-chhì,Hau-khak-tshi3,Hau-khak-tshì,鱟壳刺,251
877,Ng5-kun,N̂g-kun,Ng5-kun,N̂g-kun,黃根,251
878,Kim-kam,Kim-kam,Kim-kam,Kim-kam,金柑,251
879,Kim-kam,Kim-kam,Kim-kam,Kim-kam,金柑,251
880,Chioh8-leng5-ku7,Chio̍h-lêng-kū,Tsioh8-ling5-ku7,Tsio̍h-lîng-kū,石柃舅,251
881,Chhit-li2-hiong,Chhit-lí-hiong,Tshit-li2-hiong,Tshit-lí-hiong,七星香,252
882,Chioh8-leng5,Chio̍h-lêng,Tsioh8-ling5,Tsio̍h-lîng,石柃,252
883,Sip-li2-hiong,Sip-lí-hiong,Sip-li2-hiong,Sip-lí-hiong,十里香,252
884,Chhau3-phu5-iong5,Chhàu-phû-iông,Tshau3-phu5-iong5,Tshàu-phû-iông,臭芙蓉,252
885,Soe3-hioh8-ng5-bah-chhi3,Sòe-hio̍h-n̂g-bah-chhì,Sue3-hioh8-ng5-bah-tshi3,Suè-hio̍h-n̂g-bah-tshì,細葉黃肉刺,252
886,Kann-na2,Kaⁿ-ná,Kann-na2,Kann-ná,橄欖,254
887,Kiunn-a2-lan7-hut8,Kiuⁿ-á-lān-hu̍t,Kiunn-a2-lan7-hut8,Kiunn-á-lān-hu̍t,？仔？核,254
888,Chhiu7-lan5,Chhiū-lân,Tshiu7-lan5,Tshiū-lân,樹蘭,254
889,Chhiu-lan5,Chhiu-lân,Tshiu-lan5,Tshiu-lân,秋蘭,254
890,Ang5-chha5,Âng-chhâ,Ang5-tsha5,Âng-tshâ,紅柴,254
891,Toa7-ang5-thun-chhiu7,Tōa-âng-thun-chhiū,Tua7-ang5-thun-tshiu7,Tuā-âng-thun-tshiū,大紅椿樹,254
892,Khoo2-leng7,Khó͘-lēng,Khoo2-ling7,Khóo-līng,苦楝,255
893,Tah-bah-chhi3,Tah-bah-chhì,Tah-bah-tshi3,Tah-bah-tshì,搭肉刺,255
894,Oan2-chi3,Oán-chì,Uan2-tsi3,Uán-tsì,遠志,256
895,Chhit-chhun3-kim,Chhit-chhùn-kim,Tshit-tshun3-kim,Tshit-tshùn-kim,七寸金,256
896,Joe7-a2-chhau2,Jōe-á-chháu,Jue7-a2-tshau2,Juē-á-tsháu,蚋仔草,256
897,Thih-tio3-koann,Thih-tiò-koaⁿ,Thih-tio3-kuann,Thih-tiò-kuann,鐵釣竿,256
898,Kim-siah8-liu5,Kim-sia̍h-liû,Kim-siah8-liu5,Kim-sia̍h-liû,金石榴,256
899,Te5-si-hong5,Tê-si-hông,Te5-si-hong5,Tê-si-hông,茶絲黃,256
900,Chhan5-go7-a2-chhau2,Chhân-gō-á-chháu,Tshan5-go7-a2-tshau2,Tshân-gō-á-tsháu,田臥仔草,256
901,Tong5-chi-chhiu7,Tông-chi-chhiū,Tong5-tsi-tshiu7,Tông-tsi-tshiū,桐子樹,257
902,Iu5-tong5,Iû-tông,Iu5-tong5,Iû-tông,油桐,257
903,Tong5-chi2-chhiu7,Tông-chí-chhiū,Tong5-tsi2-tshiu7,Tông-tsí-tshiū,桐子樹,257
904,Iu5-tong5,Iû-tông,Iu5-tong5,Iû-tông,油桐,257
905,Kng2-tang-iu5-tong5,Kńg-tang-iû-tông,Kng2-tang-iu5-tong5,Kńg-tang-iû-tông,廣東油桐,257
906,Koo-li2-tin,Ko͘-lí-tin,Koo-li2-tin,Koo-lí-tin,枯里珍,258
907,Koo-li2-tin,Ko͘-lí-tin,Koo-li2-tin,Koo-lí-tin,枯里珍,258
908,Ka-tang,Ka-tang,Ka-tang,Ka-tang,茄苳,258
909,Ang5-sim-a2,Âng-sim-á,Ang5-sim-a2,Âng-sim-á,紅心仔,258
910,Ang5-chu,Âng-chu,Ang5-tsu,Âng-tsu,紅珠,258
911,Chhit-jit8-ng7,Chhit-ji̍t-n̄g,Tshit-jit8-ng7,Tshit-ji̍t-n̄g,七日暈,258
912,Ang5-chu-a2,Âng-chu-á,Ang5-tsu-a2,Âng-tsu-á,紅珠仔,258
913,Ang5-chu-a2-thau5,Âng-chu-á-thâu,Ang5-tsu-a2-thau5,Âng-tsu-á-thâu,紅珠仔頭,258
914,Ang5-i3-a2,Âng-ì-á,Ang5-i3-a2,Âng-ì-á,紅薏仔,258
915,Peh8-a2,Pe̍h-á,Peh8-a2,Pe̍h-á,白仔,258
916,Too7-bit8-chhiu7,Tō͘-bi̍t-chhiū,Too7-bit8-tshiu7,Tōo-bi̍t-tshiū,杜蜜樹,258
917,Chhi3-too7-bit8,Chhì-tō͘-bi̍t,Tshi3-too7-bit8,Tshì-tōo-bi̍t,刺杜蜜,259
918,Chhi3-lam5,Chhì-lâm,Tshi3-lam5,Tshì-lâm,刺楠,259
919,Khi7-koo5,Khī-kô͘,Khi7-koo5,Khī-kôo,柿糊,259
920,Peh8-hioh8-e7,Pe̍h-hio̍h-ē,Peh8-hioh8-e7,Pe̍h-hio̍h-ē,白葉下,259
921,Hioh8-e7-peh8,Hio̍h-ē-pe̍h,Hioh8-e7-peh8,Hio̍h-ē-pe̍h,葉下白,259
922,Pa-tau,Pa-tau,Pa-tau,Pa-tau,巴豆,259
923,Kong2-a2,Kóng-á,Kong2-a2,Kóng-á,廣仔,259
924,Beng2-chhiu7,Béng-chhiū,Bing2-tshiu7,Bíng-tshiū,猛樹,259
925,Kong3-a2,Kòng-á,Kong3-a2,Kòng-á,貢仔,259
926,Hoo2-phe5-lam5,Hó͘-phê-lâm,Hoo2-phe5-lam5,Hóo-phê-lâm,虎皮楠,259
927,Thih-sek-chhiu7,Thih-sek-chhiū,Thih-sik-tshiu7,Thih-sik-tshiū,鐵色樹,260
928,Tai7-kah-chhau2,Tāi-kah-chháu,Tai7-kah-tshau2,Tāi-kah-tsháu,大甲草,260
929,Pat-koa3-chhau2,Pat-kòa-chháu,Pat-kua3-tshau2,Pat-kuà-tsháu,八卦草,260
930,Lin-a2-chhau2,Lin-á-chháu,Lin-a2-tshau2,Lin-á-tsháu,乳仔草,260
931,Toa7-pun2-lin-a2-chhau2,Tōa-pún-lin-á-chháu,Tua7-pun2-lin-a2-tshau2,Tuā-pún-lin-á-tsháu,大本乳仔草,260
932,Ang5-kut-toa7-pun2-lin-a2-chhau2,Âng-kut-tōa-pún-lin-á-chháu,Ang5-kut-tua7-pun2-lin-a2-tshau2,Âng-kut-tuā-pún-lin-á-tsháu,紅骨大本乳仔草,260
933,He2-hang7,Hé-hāng,He2-hang7,Hé-hāng,火？,261
934,Kim-siah8-liu5,Kim-sia̍h-liû,Kim-siah8-liu5,Kim-sia̍h-liû,金石榴,261
935,Hoan-a2-chhi3,Hoan-á-chhì,Huan-a2-tshi3,Huan-á-tshì,蕃仔刺,261
936,Gi5-hoo-toan,Gî-ho͘-toan,Gi5-hoo-tuan,Gî-hoo-tuan,宜呼端,261
937,Lek-san-oo5,Lek-san-ô͘,Lik-san-oo5,Lik-san-ôo,綠珊瑚,261
938,Thih-chhiu7,Thih-chhiū,Thih-tshiu7,Thih-tshiū,鐵樹,261
939,Soe3-pun2-lin-a2-chhau2,Sòe-pún-lin-á-chháu,Sue3-pun2-lin-a2-tshau2,Suè-pún-lin-á-tsháu,細本乳仔草,262
940,Ang5-be2-a2-chhau2,Âng-bé-á-chháu,Ang5-be2-a2-tshau2,Âng-bé-á-tsháu,紅尾仔草,262
941,Pian2-thiok-chhau2,Pián-thiok-chháu,Pian2-thiok-tshau2,Pián-thiok-tsháu,萹蓄草,262
942,Lin-chhau2,Lin-chháu,Lin-tshau2,Lin-tsháu,乳草,262
943,Hoan-hun5-chhau2,Hoan-hûn-chháu,Huan-hun5-tshau2,Huan-hûn-tsháu,翻魂草,262
944,Ang5-lin-chhau2,Âng-lin-chháu,Ang5-lin-tshau2,Âng-lin-tsháu,紅乳草,262
945,Lin-a2-chhau2,Lin-á-chháu,Lin-a2-tshau2,Lin-á-tsháu,乳仔草,262
946,Oo-a2-bak8-chhau2,O͘-á-ba̍k-chháu,Oo-a2-bak8-tshau2,Oo-á-ba̍k-tsháu,烏仔目草,262
947,Ke3-loo7-gia5-kang,Kè-lō͘-giâ-kang,Ke3-loo7-gia5-kang,Kè-lōo-giâ-kang,過路蜈蚣,262
948,Pian2-chiong,Pián-chiong,Pian2-tsiong,Pián-tsiong,蝙章,262
949,Ang5-kut-soe3-pun2-lin-a2-chhau2,Âng-kut-sòe-pún-lin-á-chháu,Ang5-kut-sue3-pun2-lin-a2-tshau2,Âng-kut-suè-pún-lin-á-tsháu,紅骨細本乳仔草,262
950,Thoo2-tim5-hiunn,Thó͘-tîm-hiuⁿ,Thoo2-tim5-hiunn,Thóo-tîm-hiunn,土沈香,262
951,Chui2-chhat8-a2,Chúi-chha̍t-á,Tsui2-tshat8-a2,Tsuí-tsha̍t-á,水賊仔,262
952,Peh8-chhiu7-a2,Pe̍h-chhiū-á,Peh8-tshiu7-a2,Pe̍h-tshiū-á,白樹仔,262
953,Bin7-thau5-ke2,Bīn-thâu-ké,Bin7-thau5-ke2,Bīn-thâu-ké,面頭菓,262
954,Chhiah-huih-a2,Chhiah-huih-á,Tshiah-huih-a2,Tshiah-huih-á,赤血仔,262
955,Bin7-thau5-ke2,Bīn-thâu-ké,Bin7-thau5-ke2,Bīn-thâu-ké,面頭菓,263
956,Soe3-hioh8-chhiah-huih-a2,Sòe-hio̍h-chhiah-huih-á,Sue3-hioh8-tshiah-huih-a2,Suè-hio̍h-tshiah-huih-á,細葉赤血仔,263
957,Toa7-hioh8-bin7-thau5-ke2,Tōa-hio̍h-bīn-thâu-ké,Tua7-hioh8-bin7-thau5-ke2,Tuā-hio̍h-bīn-thâu-ké,大葉面頭菓,263
958,Toa7-ang5-sim,Tōa-âng-sim,Tua7-ang5-sim,Tuā-âng-sim,大紅心,263
959,Soe3-hioh8-bin7-thau5-ke2,Sòe-hio̍h-bīn-thâu-ké,Sue3-hioh8-bin7-thau5-ke2,Suè-hio̍h-bīn-thâu-ké,細葉面頭菓,263
960,Bin5-thau5-ke2,Bîn-thâu-ké,Bin5-thau5-ke2,Bîn-thâu-ké,面頭菓,263
961,Bun5-thau5-ke2,Bûn-thâu-ké,Bun5-thau5-ke2,Bûn-thâu-ké,文頭菓,263
962,Chui2-liu2-a2,Chúi-liú-á,Tsui2-liu2-a2,Tsuí-liú-á,水柳仔,264
963,Iu5-tong5-chhiu7,Iû-tông-chhiū,Iu5-tong5-tshiu7,Iû-tông-tshiū,油桐樹,264
964,Chui2-chhat,Chúi-chhat,Tsui2-tshat,Tsuí-tshat,水漆,264
965,Pa-tau7,Pa-tāu,Pa-tau7,Pa-tāu,巴豆,264
966,Huih-tong5,Huih-tông,Huih-tong5,Huih-tông,血桐,264
967,Toa7-phann3-chhiu7,Tōa-phàⁿ-chhiū,Tua7-phann3-tshiu7,Tuā-phànn-tshiū,大冇樹,264
968,Bin7-thau5-ke2,Bīn-thâu-ké,Bin7-thau5-ke2,Bīn-thâu-ké,面頭菓,264
969,Teng-tong5,Teng-tông,Ting-tong5,Ting-tông,橙桐,264
970,Teng-lan5,Teng-lân,Ting-lan5,Ting-lân,橙欄,264
971,Peh-bah-peh8-pu5-a2,Peh-bah-pe̍h-pû-á,Peh-bah-peh8-pu5-a2,Peh-bah-pe̍h-pû-á,白肉白匏仔,264
972,Peh8-pu5-a2,Pe̍h-pû-á,Peh8-pu5-a2,Pe̍h-pû-á,白匏仔,264
973,Peh8-hioh8-a2,Pe̍h-hio̍h-á,Peh8-hioh8-a2,Pe̍h-hio̍h-á,白葉仔,264
974,Peh8-pu5,Pe̍h-pû,Peh8-pu5,Pe̍h-pû,白匏,264
975,Khi7-koo5-bok8,Khī-kô͘-bo̍k,Khi7-koo5-bok8,Khī-kôo-bo̍k,柿糊木,265
976,Lak8-liam3-a2,La̍k-liàm-á,Lak8-liam3-a2,La̍k-liàm-á,六棯仔,265
977,La7-li2-a2,Lā-lí-á,La7-li2-a2,Lā-lí-á,嘮哩仔,265
978,Lak8-kiam2-a2,La̍k-kiám-á,Lak8-kiam2-a2,La̍k-kiám-á,六檢仔,265
979,Kau-tin5,Kau-tîn,Kau-tin5,Kau-tîn,鈎藤,265
980,Pun3-ki-tin5,Pùn-ki-tîn,Pun3-ki-tin5,Pùn-ki-tîn,糞箕藤,265
981,Chhiu7-chu5,Chhiū-chû,Tshiu7-tsu5,Tshiū-tsû,樹薯,265
982,Peh8-chhiu7-a2,Pe̍h-chhiū-á,Peh8-tshiu7-a2,Pe̍h-tshiū-á,白樹仔,265
983,Thang5-sai2,Thâng-sái,Thang5-sai2,Thâng-sái,蟲屎,265
984,Iu5-kam,Iû-kam,Iu5-kam,Iû-kam,油柑,265
985,Ah-thoo5-chu,Ah-thô͘-chu,Ah-thoo5-tsu,Ah-thôo-tsu,鴨土珠、椏土珠,266
986,Sio2-hoan-hun5,Sió-hoan-hûn,Sio2-huan-hun5,Sió-huan-hûn,小翻魂,266
987,Hioh8-e7-chu,Hio̍h-ē-chu,Hioh8-e7-tsu,Hio̍h-ē-tsu,葉下珠,266
988,Soe3-pun2-lin-a2-chhau2,Sòe-pún-lin-á-chháu,Sue3-pun2-lin-a2-tshau2,Suè-pún-lin-á-tsháu,細本乳仔草,266
